gene	length	logFC	logCPM	F	PValue	FDR
Tspan4	3162	1.100100276	0.889952393	5.736998508	0.03077852	0.119484337
Pde4a	7460	1.099425012	0.361419132	2.615684557	0.127589032	0.305421501
Nrp1	9735	1.094948647	6.431024028	26.93499925	0.000126875	0.002873961
Bhlhe40	3113	1.09435021	6.967443206	11.35641418	0.004445154	0.032615352
Prelid2	724	1.076729143	2.69517863	25.5073156	0.000164621	0.003503408
Ahr	5494	1.07205387	5.465064008	31.63198674	5.73E-05	0.001738621
Srm	1328	1.069498684	6.210450738	25.51788221	0.000164298	0.003503159
Phtf2	5149	1.062807173	4.255614722	39.00815763	1.92E-05	0.000872624
Chsy1	4446	1.060625958	2.983891453	17.80335223	0.00081556	0.010362949
LOC118568556	5499	1.059794194	0.415981663	4.141211007	0.060770201	0.189410553
Gm34086	6773	1.056192906	1.178173256	1.948185905	0.184017425	0.387668548
Lta	1627	1.051644854	6.084412985	111.0178242	3.87E-08	1.81E-05
1810006J02Rik	1687	1.047583138	1.627315194	7.482433875	0.015823113	0.077423763
Myo1e	4998	1.042517916	3.580451423	13.45362545	0.002442751	0.021705205
Ager	1978	1.034520561	2.642415479	2.649223084	0.125364138	0.302140065
Gzmb	1512	1.029527636	1.398323053	1.825601758	0.197579525	0.403181129
Ebi3	1171	1.027661338	5.249072897	25.4824995	0.000165382	0.00350635
Unc93b1	2281	1.016356154	5.575818078	119.5146389	2.41E-08	1.25E-05
Tnfrsf8	3496	1.014724419	4.694162919	9.940923869	0.006876026	0.043318582
Atp8b4	6512	1.014532306	0.924944832	6.264784207	0.024978208	0.104261897
1500009L16Rik	1363	1.012530534	3.593449944	11.46630971	0.004302084	0.032025024
Sox4	4781	1.005605587	2.120823262	7.438258192	0.0160783	0.078088653
Gbp7	5622	1.004231611	4.109125466	16.60374807	0.001085194	0.012581997
Trav6-7-dv9	368	-1.00034521	1.513701323	5.499321821	0.03389453	0.127226673
Gm50587	3257	-1.001414443	1.162240085	6.278740146	0.024843042	0.103971362
Atrnl1	7207	-1.00566071	0.681381677	4.235488233	0.05823971	0.183607577
Adam8	4190	-1.006712668	0.923482078	5.576148662	0.032848679	0.124893763
Rgs11	3223	-1.008224121	1.399835898	7.74804348	0.014383928	0.072389028
Spo11	3310	-1.008342034	2.618893359	12.10940737	0.003563549	0.028219175
Rflnb	3512	-1.010169543	6.130117421	36.02084465	2.93E-05	0.001126344
Camk2b	5738	-1.011558854	2.636738953	8.463637057	0.011200948	0.060771213
