NAME	TITLE	SCORE	
CDK10		2.3677812	
GMPS		2.3660965	
NAP1L1		2.3648577	
ITGB1		2.3575552	
NCOA2		2.3565607	
MAPKAPK2		2.3559515	
TIMM10		2.355945	
MRPL49		2.3551836	
ZBED4		2.3545666	
HNRNPC		2.3542542	
SCD2		2.353408	
SAMSN1		2.3531299	
TADA1		2.3523588	
PPIE		2.3520005	
2410002F23RIK		2.3502767	
SSBP1		2.3485801	
EIF2S3X		2.3477972	
PTPN11		2.347699	
GPHN		2.3432024	
1500009L16RIK		2.3427682	
CMSS1		2.3404787	
DHX29		2.3368905	
ZFP961		2.3356793	
INTS2		2.3352075	
PPP5C		2.3349247	
CAND1		2.3341904	
HACD2		2.3296611	
METAP2		2.329605	
BHLHE40		2.3283045	
OGT		2.3278308	
SOAT2		2.3275793	
GM4956		2.3218653	
SMNDC1		2.3210843	
1110008L16RIK		2.3210285	
PSMB8		2.3180585	
GARS		2.312145	
MRPL55		2.3091915	
NUP88		2.3077953	
RPL36AL		2.3073282	
UBFD1		2.3069217	
METTL13		2.30574	
NDUFA9		2.3019936	
CDK7		2.3018854	
GUK1		2.3008156	
POLR3K		2.2993793	
MRPL40		2.2957513	
NTHL1		2.2954013	
UCHL3		2.2953658	
USP16		2.2941604	
MPRIP		2.2938848	
EIF2A		2.2922065	
EIF1A		2.2921166	
COPS5		2.2900634	
PSMG4		2.288043	
LARP4		2.2853973	
NCF4		2.2847643	
RRAS2		2.2840753	
SYTL2		2.2834556	
2700038G22RIK		2.2818503	
DTYMK		2.279601	
LRMP		2.27913	
YTHDF2		2.276158	
MRPL47		2.2734969	
UBE3C		2.2724812	
SNHG6		2.2724013	
NUP43		2.2719193	
CYCS		2.2708132	
IIGP1		2.2704701	
NPM3		2.2674818	
SNX3		2.2666855	
CARS		2.2662091	
METTL5		2.2651942	
MRPS17		2.2644308	
TOMM20		2.2638474	
KBTBD4		2.2631516	
NFKB1		2.2595603	
GSTO1		2.2591562	
RPL35A		2.258914	
AHSA1		2.2565234	
TNPO1		2.2548633	
DNAAF2		2.251746	
ZC3HAV1L		2.2509303	
EXOSC1		2.2498336	
MIR17HG		2.2486665	
FKBP1A		2.247638	
MESDC2		2.2468078	
GTPBP8		2.2467544	
ZFP28		2.2457075	
LY6K		2.2448597	
SLC7A6		2.2447085	
LDLRAD4		2.242253	
MRPL28		2.240512	
KPNA6		2.2402813	
GDE1		2.2397618	
HERPUD1		2.238771	
HSPA8		2.2368875	
STAMBPL1		2.23558	
CD82		2.2335546	
MIPEP		2.2328718	
SP110		2.2316275	
DUS4L		2.227351	
AGFG1		2.224864	
CCBL2		2.2247915	
RPS12		2.2241538	
ICE1		2.2239828	
ZFP219		2.2229095	
PIM2		2.2228205	
RANGRF		2.2201114	
RTCB		2.219472	
STIP1		2.2171493	
GAS5		2.2157493	
EIF6		2.2148418	
DNAJC2		2.21452	
MKKS		2.2137356	
BCLAF1		2.210521	
ADSS		2.2105062	
POGK		2.2090187	
KPNA4		2.2067153	
GUSB		2.2057798	
SLC9B2		2.2042027	
ZFP235		2.203364	
PPP1R14B		2.2026484	
BCAT1		2.198955	
DARS		2.1983542	
KRR1		2.1982028	
QTRT1		2.1976094	
PPP2R2A		2.1969135	
GM3558		2.196453	
ANKRD49		2.195968	
COBLL1		2.1944296	
AW112010		2.193938	
APH1A		2.1923819	
ZC3H8		2.1904492	
SSB		2.189877	
DDX3X		2.1897435	
RPL23		2.1888885	
PDIA4		2.1886072	
APOBR		2.1878161	
SNRPD1		2.183228	
BCO2		2.1830988	
HSF1		2.1819656	
ATP5C1		2.1802392	
MYL4		2.1793282	
RPS27L		2.1790767	
ILF2		2.1771884	
ANXA6		2.1735904	
HUWE1		2.170521	
DDX1		2.169376	
EXOSC4		2.1690662	
DNAJC11		2.1686692	
SRPRB		2.165747	
SCFD2		2.1655476	
MRPS22		2.1653306	
ARHGAP31		2.1637154	
SFTPC		2.1629465	
SNRPA1		2.1585407	
RBMXL1		2.1582646	
UBE2G1		2.1582391	
QTRTD1		2.1561968	
RPL27		2.1523182	
NFAT5		2.1515677	
FAR1		2.1491404	
ERH		2.1491354	
SNHG4		2.1459365	
MIF		2.145371	
DDX51		2.140844	
STOML2		2.1352327	
CHORDC1		2.1334698	
TRMT10C		2.133017	
MRPS18A		2.132914	
LMAN1		2.1325963	
ATP5F1		2.132283	
SUMO1		2.132259	
A130010J15RIK		2.1307933	
TRAP1		2.1300104	
KNOP1		2.1289053	
CLDND1		2.1248243	
TMEM39A		2.1246128	
YWHAE		2.1212673	
POLR3E		2.1195412	
FCF1		2.1194813	
TRA2B		2.1194153	
GBP6		2.1193013	
GPR89		2.11906	
AI506816		2.1180465	
