"gene"	"length"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"4705"	"Kpnb1"	5909	1.21522462154778	6.91910381100529	280.80140219731	7.44278039785948e-11	1.32885651708862e-08
"3354"	"Fkbp4"	2167	1.69600738334437	7.62719983938393	277.855770281573	8.0025628097761e-11	1.40178225217911e-08
"6098"	"Orai2"	3849	-1.604146768488	6.62687436889205	277.09034638399	8.1557691119916e-11	1.40519890765626e-08
"5805"	"Neurl3"	2583	-2.40667572553363	6.0802487586284	275.279324572907	8.53174621022012e-11	1.43379014299421e-08
"9541"	"Txnip"	2801	-2.17030917608487	5.87079907136839	272.53274694061	9.14024163469194e-11	1.43379014299421e-08
"9648"	"Uchl5"	1851	1.60881617593013	6.75032370995357	274.755324957218	8.64418532030712e-11	1.43379014299421e-08
"7431"	"Rnaseh2b"	1457	1.4869652045791	6.1581420903149	272.719362083814	9.09736692636618e-11	1.43379014299421e-08
"8352"	"Snrpd1"	837	1.44958859792687	7.34285546535726	273.178257650623	8.99290650636025e-11	1.43379014299421e-08
"5844"	"Nhp2"	1004	1.22197850149912	7.24996173584788	274.271294737752	8.74954920126228e-11	1.43379014299421e-08
"8218"	"Slfn2"	1664	-1.06476582584354	9.35075648362233	270.493291626472	9.62411711294576e-11	1.48749221848618e-08
"4510"	"Jak2"	5055	-1.66496948880373	5.98729387258885	268.825446599352	1.00415775092497e-10	1.5076711374602e-08
"8848"	"Tdp1"	2055	1.42737007503979	6.1708528002433	269.254020937106	9.93237021366954e-11	1.5076711374602e-08
"4749"	"Lap3"	2267	1.81461910600247	5.82151470346562	267.913336953552	1.027857971171e-10	1.52151933478975e-08
"7193"	"Ran"	2288	1.77598083755498	9.83830341001483	266.285988742272	1.07174273883786e-10	1.56444669238693e-08
"5601"	"Myl4"	883	2.40437491558373	3.32233069239656	263.082104580996	1.16452615407664e-10	1.65526461713858e-08
"4864"	"Lpar6"	2468	-1.97256351898741	5.24057651671294	262.030282962214	1.19695633589469e-10	1.65526461713858e-08
"4310"	"Ikbke"	3203	-1.41430154390834	7.87818617035923	262.21313520336	1.1912454430529e-10	1.65526461713858e-08
"9651"	"Uckl1"	1810	-1.30823690919968	6.46360942989257	262.321823990277	1.18786554957518e-10	1.65526461713858e-08
"1644"	"Cd200r1"	1891	-2.12151717849604	4.60857392199395	259.499018495685	1.27930456577951e-10	1.71402801223216e-08
"2191"	"Cse1l"	3604	1.7127088303534	7.21950050681308	259.378026102352	1.28339942440249e-10	1.71402801223216e-08
"7162"	"Rad18"	2701	1.3607244791392	5.58356080935628	259.231600920651	1.28837500443711e-10	1.71402801223216e-08
"1418"	"Calcoco1"	2824	-2.11200347787294	5.317281260449	257.260844041062	1.35752527815306e-10	1.78344883417359e-08
"3980"	"Hbp1"	4240	-1.75801301589244	6.26293934295894	254.293781314617	1.46975839053648e-10	1.79817022336675e-08
"6611"	"Pmm1"	1302	1.72927926894545	4.2747028374016	254.469515535275	1.46282394549527e-10	1.79817022336675e-08
"3969"	"Hat1"	1576	1.71407491841825	7.39976391063698	254.608411631405	1.45736948119322e-10	1.79817022336675e-08
"7194"	"Ranbp1"	852	1.63303098319994	8.27841319435319	255.395516017525	1.42689385277835e-10	1.79817022336675e-08
"6258"	"Pcna"	1260	1.60265805113757	8.5030543448771	253.016279510988	1.5213086970794e-10	1.79817022336675e-08
"2243"	"Ctsa"	3626	-1.59393361253247	7.89219855073847	252.98216810015	1.52271312920686e-10	1.79817022336675e-08
"8117"	"Slc28a2"	3904	-1.35230863420367	7.16980233042627	254.136609068091	1.47599210809304e-10	1.79817022336675e-08
"7668"	"Rsl1d1"	1839	1.14490444147061	7.61998425293575	253.730586301246	1.49223548795138e-10	1.79817022336675e-08
